node_ip,bmc_ip,name,in_asset,in_monitor,gpu_candidate,platform_power_status,platform_agent_status,platform_verify_status,tags,node_exporter,dcgm_exporter,gpu_exporter,ipmi_exporter
10.114.4.105,10.114.1.105,h100gpu-05,YES,YES,YES,开机,已安装,已验证,H100,UP,UP,UP,UP
10.114.4.106,10.114.1.106,h100gpu-06,YES,YES,YES,开机,已安装,已验证,H100,UP,UP,UP,UP
10.114.4.107,10.114.1.107,h100gpu-07,YES,YES,YES,开机,已安装,已验证,"H100,故障排查",UP,UP,UP,UP
10.114.4.108,10.114.1.108,h100gpu-08,YES,YES,YES,开机,已安装,已验证,"H100,故障排查",UP,UP,UP,UP
10.114.4.109,10.114.1.109,h100gpu-09,YES,YES,YES,开机,已安装,已验证,H100,UP,UP,UP,UP
10.114.4.110,10.114.1.110,h100gpu-10,YES,YES,YES,开机,已安装,已验证,"H100,故障排查",UP,UP,UP,UP
10.114.4.111,10.114.1.111,h100gpu-11,YES,YES,YES,开机,已安装,已验证,H100,UP,UP,UP,UP
10.114.4.112,10.114.1.112,h100gpu-12,YES,YES,YES,开机,已安装,已验证,"H100,故障排查",UP,UP,UP,UP
10.114.4.113,10.114.1.113,h100gpu-13,YES,YES,YES,开机,已安装,已验证,H100,UP,UP,UP,UP
10.114.4.114,10.114.1.114,h100gpu-14,YES,YES,YES,开机,已安装,已验证,H100,UP,UP,UP,UP
10.114.4.115,10.114.1.115,h100gpu-15,YES,YES,YES,开机,已安装,已验证,H100,UP,UP,UP,UP
10.114.4.116,10.114.1.116,h100gpu-16,YES,YES,YES,开机,已安装,已验证,H100,UP,UP,UP,UP
10.114.4.117,10.114.1.117,h100gpu-17,YES,YES,YES,开机,已安装,已验证,H100,UP,UP,UP,UP
10.114.4.118,10.114.1.118,h100gpu-18,YES,YES,YES,开机,已安装,已验证,"H100,故障排查",UP,UP,UP,UP
10.114.4.119,10.114.1.119,h100gpu-19,YES,YES,YES,开机,已安装,已验证,H100,UP,UP,UP,UP
10.114.4.120,10.114.1.120,h100gpu-20,YES,YES,YES,开机,已安装,已验证,"H100,故障排查",UP,UP,UP,UP
10.114.4.121,10.114.1.121,h100gpu-21,YES,YES,YES,开机,已安装,已验证,H100,UP,UP,UP,UP
10.114.4.122,10.114.1.122,h100gpu-22,YES,YES,YES,开机,已安装,已验证,H100,UP,UP,UP,UP
10.114.4.123,10.114.1.123,h100gpu-23,YES,YES,YES,开机,已安装,已验证,H100,UP,UP,UP,UP
10.114.4.124,10.114.1.124,h100gpu-24,YES,YES,YES,开机,已安装,已验证,H100,UP,UP,UP,UP
10.114.4.125,10.114.1.125,h100gpu-25,YES,YES,YES,开机,已安装,已验证,"H100,故障排查",UP,UP,UP,UP
10.114.4.126,10.114.1.126,h100gpu-26,YES,YES,YES,开机,已安装,已验证,H100,UP,UP,UP,UP
10.114.4.127,10.114.1.127,h100gpu-27,YES,YES,YES,开机,已安装,已验证,H100,UP,UP,UP,UP
10.114.4.128,10.114.1.128,h100gpu-28,YES,YES,YES,开机,已安装,已验证,H100,UP,UP,UP,UP
10.114.4.129,10.114.1.129,h100gpu-29,YES,YES,YES,开机,已安装,已验证,H100,UP,UP,UP,UP
10.114.4.130,10.114.1.130,h100gpu-30,YES,YES,YES,开机,已安装,已验证,"H100,故障排查",UP,DOWN,DOWN,UP
10.114.4.131,10.114.1.131,h100gpu-31,YES,YES,YES,开机,已安装,已验证,"H100,故障排查",UP,UP,UP,UP
10.114.4.132,10.114.1.132,h100gpu-32,YES,YES,YES,开机,已安装,已验证,"H100,故障排查",UP,UP,DOWN,UP
10.114.4.133,10.114.1.133,h100gpu-33,YES,YES,YES,开机,已安装,已验证,"H100,new",UP,UP,UP,UP
10.114.4.134,10.114.1.134,h100gpu-34,YES,YES,YES,开机,已安装,已验证,"H100,new",UP,UP,UP,UP
10.114.4.135,10.114.1.135,h100gpu-35,YES,YES,YES,开机,已安装,已验证,"H100,new",UP,UP,DOWN,UP
10.114.4.136,10.114.1.136,h100gpu-36,YES,YES,YES,开机,已安装,已验证,"H100,new",UP,UP,UP,UP
10.114.4.137,10.114.1.137,h100gpu-37,YES,YES,YES,开机,已安装,已验证,"H100,new",UP,UP,UP,UP
10.114.4.138,10.114.1.138,h100gpu-38,YES,YES,YES,开机,已安装,已验证,"H100,new",UP,UP,UP,UP
10.114.4.139,10.114.1.139,h100gpu-39,YES,YES,YES,开机,已安装,已验证,"H100,new",UP,UP,DOWN,UP
10.114.4.140,10.114.1.140,h100gpu-40,YES,YES,YES,开机,已安装,已验证,"H100,new,故障排查",UP,UP,UP,UP
10.114.4.141,10.114.1.141,h100gpu-41,YES,YES,YES,开机,已安装,已验证,"H100,new,故障排查",UP,UP,UP,UP
10.114.4.142,10.114.1.142,h100gpu-42,YES,YES,YES,开机,已安装,已验证,"差异性校验,H100,new",UP,UP,UP,UP
10.114.4.143,10.114.1.143,h100gpu-43,YES,YES,YES,开机,已安装,已验证,"H100,new",UP,UP,UP,UP
10.114.4.144,10.114.1.144,h100gpu-44,YES,YES,YES,开机,已安装,已验证,"H100,new,差异性校验,故障排查",UP,UP,UP,UP
10.114.4.145,10.114.1.145,h100gpu-45,YES,YES,YES,开机,已安装,已验证,"new,H100",UP,UP,UP,UP
10.114.4.146,10.114.1.146,h100gpu-46,YES,YES,YES,开机,已安装,已验证,"H100,new,故障排查",UP,UP,UP,UP
10.114.4.147,10.114.1.147,h100gpu-47,YES,YES,YES,开机,已安装,已验证,"H100,new",UP,UP,UP,UP
10.114.4.148,10.114.1.148,h100gpu-48,YES,YES,YES,开机,已安装,已验证,"H100,new",UP,UP,UP,UP
10.114.4.201,10.114.1.201,H200gpu-01,YES,YES,YES,开机,已安装,已验证,H100,UP,UP,DOWN,UP
10.114.4.202,10.114.1.202,H200gpu-02,YES,YES,YES,开机,已安装,已验证,H100,UP,UP,DOWN,UP
10.114.4.203,10.114.1.203,H200gpu-03,YES,YES,YES,开机,已安装,已验证,H100,UP,UP,DOWN,UP
10.114.4.204,10.114.1.204,H200gpu-04,YES,YES,YES,开机,已安装,已验证,-,UP,UP,DOWN,UP
10.114.4.205,10.114.1.205,H200gpu-05,YES,YES,YES,开机,已安装,已验证,H100,UP,UP,DOWN,UP
10.114.4.206,10.114.1.206,H200gpu-06,YES,YES,YES,开机,已安装,已验证,H100,UP,UP,DOWN,UP
10.114.4.207,10.114.1.207,H200gpu-07,YES,YES,YES,开机,已安装,已验证,H100,UP,UP,DOWN,UP
10.114.4.208,10.114.1.208,H200gpu-08,YES,YES,YES,开机,已安装,已验证,H100,UP,UP,UP,UP
